Date,Revenue(Quarterly)
31/3/2018,61140000000
31/12/2017,88290000000
30/09/2017,52580000000
30/06/2017,45410000000
31/03/2017,52900000000
31/12/2016,78350000000
30/09/2016,46850000000
30/06/2016,42360000000
31/03/2016,50560000000
31/12/2015,75870000000
30/09/2015,51500000000
30/06/2015,49600000000
31/03/2015,58010000000
31/12/2014,74600000000
30/09/2014,42120000000
30/06/2014,37430000000
31/03/2014,45650000000
31/12/2013,57590000000
30/09/2013,37470000000
30/06/2013,35320000000
31/03/2013,43600000000
31/12/2012,54510000000
30/09/2012,35970000000
30/06/2012,35020000000
31/03/2012,39190000000
31/12/2011,46330000000
30/09/2011,28270000000
30/06/2011,28570000000
31/03/2011,24670000000
31/12/2010,26740000000
30/09/2010,20340000000
30/06/2010,15700000000
31/03/2010,13500000000
31/12/2009,15680000000
30/09/2009,12210000000
30/06/2009,9734000000
31/03/2009,9084000000
31/12/2008,11880000000
30/09/2008,12910000000
30/06/2008,7464000000
31/03/2008,7512000000
31/12/2007,9608000000
30/09/2007,6789000000
30/06/2007,5410000000
31/03/2007,5264000000
31/12/2006,7115000000
30/09/2006,4837000000
30/06/2006,4370000000
31/03/2006,4359000000
31/12/2005,5749000000
